Complaint ID,Product,Sub-product,Issue,Sub-issue,State,ZIP code,Submitted via,Date received,Date sent to company,Company,Company response,Timely response?,Consumer disputed?
1431865,Consumer loan,Vehicle loan,Managing the loan or lease,,NJ,8736,Web,6/22/2015,6/22/2015,Nissan Motor Acceptance Corporation,In progress,Yes,
1431374,Debt collection,Medical,Disclosure verification of debt,Not given enough info to verify debt,WI,54140,Web,6/22/2015,6/22/2015,"RSI Enterprises, Inc.",Closed with explanation,Yes,
1431251,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,MO,63368,Web,6/22/2015,6/22/2015,Flagstar Bank,In progress,Yes,
1431743,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,WA,98055,Web,6/22/2015,6/22/2015,"P.S.C., Inc",Closed with explanation,Yes,Yes
1432678,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,TX,75104,Web,6/22/2015,6/22/2015,"ProCollect, Inc",Closed with explanation,Yes,
1432104,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,CA,95423,Web,6/22/2015,6/22/2015,"Associated Credit Services, Inc.",In progress,Yes,
1431998,Debt collection,"Other (phone, health club, etc.)",Communication tactics,Frequent or repeated calls,TX,75048,Web,6/22/2015,6/22/2015,"EOS Holdings, Inc.",Closed with explanation,Yes,
1432207,Debt collection,Medical,Disclosure verification of debt,Right to dispute notice not received,TX,75125,Web,6/22/2015,6/22/2015,"ProCollect, Inc",Closed with explanation,Yes,
1432202,Consumer loan,Vehicle loan,Problems when you are unable to pay,,TN,37174,Web,6/22/2015,6/22/2015,Navy FCU,In progress,Yes,
1432334,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,FL,33830,Web,6/22/2015,6/22/2015,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,
1431188,Debt collection,Payday loan,Communication tactics,Threatened to take legal action,NE,68134,Web,6/22/2015,6/22/2015,"Secure Capital Management, Inc.",Closed with explanation,Yes,
1431358,Money transfers,Domestic (US) money transfer,Money was not available when promised,,AL,35235,Phone,6/22/2015,6/22/2015,MoneyGram,In progress,Yes,
1430973,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,OH,44057,Web,6/21/2015,6/21/2015,"FirstSource Advantage, LLC",Closed with explanation,Yes,
1431167,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,CO,80015,Web,6/21/2015,6/22/2015,"Southwest Credit Systems, L.P.",In progress,Yes,
1430909,Credit reporting,,Unable to get credit report/credit score,Problem getting report or credit score,CA,95823,Web,6/21/2015,6/21/2015,Equifax,Closed with explanation,Yes,
1430879,Credit reporting,,Incorrect information on credit report,Information is not mine,TN,38401,Web,6/21/2015,6/21/2015,TransUnion,Closed with explanation,Yes,
1430964,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,FL,33412,Web,6/21/2015,6/21/2015,Arbor Residential Mortgage LLC,In progress,Yes,
